pca,k,vot_pes,alpha,epsilon,acc,std
1,8,0,55,1e-6,0.9709761904761904,0.0024062937129757434
1,8,1,55,1e-6,0.9572380952380953,0.0014933715981492281
1,7,0,55,1e-6,0.9712142857142858,0.0024110008648003485
1,7,1,55,1e-6,0.9594285714285714,0.0015638344641593362
1,6,0,55,1e-6,0.9714285714285713,0.002239867585979374
1,6,1,55,1e-6,0.9615,0.0012107792509610546
1,5,0,55,1e-6,0.9725714285714286,0.0020267485661933887
1,5,1,55,1e-6,0.9641190476190478,0.001474653577828746
1,4,0,55,1e-6,0.971857142857143,0.0018696162313714833
1,4,1,55,1e-6,0.9666666666666668,0.0017721708634217512
1,3,0,55,1e-6,0.9722380952380952,0.0022008038111031177
1,3,1,55,1e-6,0.9690714285714286,0.0012984379242320099
1,2,0,55,1e-6,0.9670238095238094,0.0003912303982179839
1,2,1,55,1e-6,0.9714285714285715,0.0017753668459340205
1,1,0,55,1e-6,0.9714285714285715,0.0017753668459340205
1,1,1,55,1e-6,0.9714285714285715,0.0017753668459340205
1,8,0,53,1e-6,0.9712380952380952,0.0022695359990081024
1,8,1,53,1e-6,0.9569047619047619,0.002208004403689438
1,7,0,53,1e-6,0.9711428571428572,0.002275772027685433
1,7,1,53,1e-6,0.9595952380952382,0.0018328694527540487
1,6,0,53,1e-6,0.9715238095238096,0.0025269522212231534
1,6,1,53,1e-6,0.9614285714285714,0.0019225361179225058
1,5,0,53,1e-6,0.9726904761904762,0.0024853311144190236
1,5,1,53,1e-6,0.9638095238095238,0.0018671889453997798
1,4,0,53,1e-6,0.972047619047619,0.0019112983086085143
1,4,1,53,1e-6,0.966357142857143,0.0013183683999911638
1,3,0,53,1e-6,0.9724761904761905,0.0017059984873974137
1,3,1,53,1e-6,0.9692380952380952,0.001364848633139663
1,2,0,53,1e-6,0.9672380952380953,0.0005995084910482938
1,2,1,53,1e-6,0.9712619047619049,0.001292311118582109
1,1,0,53,1e-6,0.9712619047619049,0.001292311118582109
1,1,1,53,1e-6,0.9712619047619049,0.001292311118582109
1,8,0,51,1e-6,0.9712142857142858,0.002294131327703985
1,8,1,51,1e-6,0.9576190476190476,0.002224630214628213
1,7,0,51,1e-6,0.9710000000000001,0.002043462003916708
1,7,1,51,1e-6,0.9599047619047619,0.001556567536064885
1,6,0,51,1e-6,0.9715238095238096,0.0023659048309123015
1,6,1,51,1e-6,0.9614999999999998,0.002104955819552432
1,5,0,51,1e-6,0.9728333333333333,0.0021891818121852575
1,5,1,51,1e-6,0.9640714285714285,0.0015547454968871238
1,4,0,51,1e-6,0.9722142857142856,0.002066908039448656
1,4,1,51,1e-6,0.9667619047619047,0.0010947203745307196
1,3,0,51,1e-6,0.9724285714285713,0.0019642496389183773
1,3,1,51,1e-6,0.9688333333333332,0.0014073825434411014
1,2,0,51,1e-6,0.9668809523809523,0.0003483033056744509
1,2,1,51,1e-6,0.9715476190476192,0.0016025065400441575
1,1,0,51,1e-6,0.9715476190476192,0.0016025065400441575
1,1,1,51,1e-6,0.9715476190476192,0.0016025065400441575
1,8,0,49,1e-6,0.9711428571428572,0.002410060169928494
1,8,1,49,1e-6,0.9575952380952382,0.0017421674409453984
1,7,0,49,1e-6,0.9712142857142856,0.0023790468565327333
1,7,1,49,1e-6,0.9595952380952382,0.0018696162313715094
1,6,0,49,1e-6,0.9717380952380952,0.0021725456608610075
1,6,1,49,1e-6,0.9618333333333334,0.0018079567149113804
1,5,0,49,1e-6,0.9727619047619047,0.002562595056585467
1,5,1,49,1e-6,0.9642380952380952,0.0010874464044446925
1,4,0,49,1e-6,0.9726190476190476,0.0021847751898961014
1,4,1,49,1e-6,0.9666190476190476,0.0012362623795949502
1,3,0,49,1e-6,0.9728333333333333,0.0022580167084816304
1,3,1,49,1e-6,0.9691428571428572,0.0009594972228385715
1,2,0,49,1e-6,0.9671904761904763,0.00035793562805649145
1,2,1,49,1e-6,0.9716190476190476,0.0016368073564092711
1,1,0,49,1e-6,0.9716190476190476,0.0016368073564092711
1,1,1,49,1e-6,0.9716190476190476,0.0016368073564092711
1,8,0,47,1e-6,0.9711190476190475,0.002290669232534423
1,8,1,47,1e-6,0.9570238095238095,0.002141533983025595
1,7,0,47,1e-6,0.9713809523809525,0.002272032464397114
1,7,1,47,1e-6,0.9593809523809524,0.0020376278947937623
1,6,0,47,1e-6,0.9719285714285715,0.002335761613034457
1,6,1,47,1e-6,0.9619761904761905,0.0016642840111715873
1,5,0,47,1e-6,0.9729999999999999,0.0028125488153990024
1,5,1,47,1e-6,0.9640238095238095,0.0015345602899354347
1,4,0,47,1e-6,0.9726904761904762,0.0025572803013519277
1,4,1,47,1e-6,0.9661190476190477,0.0017359739174817338
1,3,0,47,1e-6,0.9724761904761905,0.002305224274754189
1,3,1,47,1e-6,0.9688809523809525,0.001403752664093677
1,2,0,47,1e-6,0.967047619047619,0.00047260555336380174
1,2,1,47,1e-6,0.9715238095238095,0.0015746719775034715
1,1,0,47,1e-6,0.9715238095238095,0.0015746719775034715
1,1,1,47,1e-6,0.9715238095238095,0.0015746719775034715
1,8,0,45,1e-6,0.9710238095238095,0.0028448146726178943
1,8,1,45,1e-6,0.956642857142857,0.002344240783837626
1,7,0,45,1e-6,0.9715952380952381,0.0024288048440583975
1,7,1,45,1e-6,0.9588571428571429,0.0016454430993496283
1,6,0,45,1e-6,0.9718095238095238,0.0024413761406873423
1,6,1,45,1e-6,0.9618571428571429,0.0018922206177433782
1,5,0,45,1e-6,0.9727619047619047,0.0023706921786464837
1,5,1,45,1e-6,0.9641666666666666,0.0015631092916352036
1,4,0,45,1e-6,0.9724047619047619,0.002787240119364166
