pca,k,vot_pes,alpha,epsilon,duracion,acc,std
1,3,0,55,1e-6,111,0.9722380952380952,0.0022008038111031177
1,3,0,53,1e-6,112,0.9724761904761905,0.0017059984873974137
1,3,0,51,1e-6,110,0.9724285714285713,0.0019642496389183773
1,3,0,49,1e-6,108,0.9728333333333333,0.0022580167084816304
1,3,0,47,1e-6,105,0.9724761904761905,0.002305224274754189
1,3,0,45,1e-6,99,0.9724047619047619,0.0020278670809397736
1,3,0,43,1e-6,95,0.9725238095238096,0.0023778551283326474
1,3,0,41,1e-6,90,0.9726904761904762,0.002624021251504038
1,3,0,39,1e-6,87,0.9729285714285714,0.002595784127791678
1,3,0,37,1e-6,80,0.9731190476190477,0.0028763245001886444
1,3,0,35,1e-6,76,0.9733571428571428,0.0028585314086185657
1,3,0,33,1e-6,72,0.9730000000000001,0.0027555345255579756
1,3,0,31,1e-6,68,0.9726666666666667,0.0027505925974575336
1,3,0,29,1e-6,65,0.9718571428571428,0.0024485638347013987
1,3,0,27,1e-6,65,0.9717619047619047,0.002227686026803056
1,3,0,25,1e-6,60,0.9705714285714286,0.0026031987997326713
