ttl,ip,rttHop,rttTot,lat,lon,outlier
1,157.92.6.19,60.450172424316406,60.450172424316406,0,0,True
2,10.5.47.98,1.4230012893676758,61.87317371368408,0,0,False
3,10.3.7.97,8.166273434956864,70.03944714864095,0,0,False
4,170.51.254.174,1.3649225234985352,71.40436967213948,0,0,False
5,170.51.254.180,-6.3331524531046455,65.07121721903484,0,0,False
6,62.115.41.57,189.31469122568768,254.3859084447225,0,0,True
7,62.115.125.6,9.618703524271638,264.00461196899414,0,0,False
8,62.115.119.230,45.8569924036662,309.86160437266034,0,0,True
9,62.115.122.158,-15.32167593638104,294.5399284362793,0,0,False
10,62.115.122.139,101.15516596827013,395.6950944045494,0,0,True
11,62.115.127.90,6.00953485773897,401.7046292622884,0,0,False
12,62.115.132.109,-14.508072535196902,387.1965567270915,0,0,False
13,213.248.100.167,11.84838612874347,399.04494285583496,0,0,True
14,188.1.235.242,-0.1265446345011582,398.9183982213338,0,0,False
18,141.20.0.210,0.2185583114624023,399.1369565327962,0,0,False
19,141.20.5.188,4.204527537028014,403.3414840698242,0,0,False
