ttl,ip,rttHop,rttTot,lat,lon,outlier
1,190.190.202.84,5.344094901249327,5.344094901249327,-34.4231,-58.583,False
6,181.96.113.234,74.14958668851305,79.49368158976237,-31.429,-64.1756,False
7,195.22.220.56,-59.6590518951416,19.83462969462077,43.1479,12.1097,False
9,149.3.181.65,27.931078275044758,47.76570796966553,43.1479,12.1097,False
10,129.250.2.196,125.85691665780956,173.6226246274751,37.751,-97.822,False
11,129.250.2.108,-4.338366738681145,169.28425788879395,37.751,-97.822,False
12,129.250.200.114,-15.182870229085296,154.10138765970865,31.8207,-106.5758,False
13,170.39.8.30,1.899488766988128,156.00087642669678,37.751,-97.822,False
14,190.103.185.187,153.7667989730835,309.7676753997803,37.751,-97.822,False
15,155.232.1.149,15.865508715311705,325.633184115092,-29.9056,30.9405,False
16,155.232.1.97,0.9667237599690566,326.59990787506104,-29.9056,30.9405,False
17,192.96.2.244,-2.8351147969563613,323.7647930781047,-29.0,24.0,False
18,163.200.81.55,-3.729128837585449,320.0356642405192,-29.0,24.0,False
