ttl,ip,rttHop,rttTot,lat,lon,outlier
1,157.92.6.19,71.95130189259847,71.95130189259847,-34.61315,-58.37723,True
2,10.5.47.98,-2.847218513488769,69.1040833791097,-34.61315,-58.37723,False
3,10.3.7.97,2.1431446075439453,71.24722798665364,-34.61315,-58.37723,False
4,10.2.186.117,-5.693682034810379,65.55354595184326,-34.61315,-58.37723,False
5,170.51.254.174,10.02116998036702,75.57471593221028,-34.61315,-58.37723,False
6,195.22.220.46,5.377284685770675,80.95200061798096,-34.61315,-58.37723,False
8,149.3.181.65,189.50337568918863,270.4553763071696,45.37058,10.02677,True
9,129.250.2.196,9.566338857014957,280.02171516418457,34.05223,-118.24368,False
10,129.250.2.108,-24.931135773658752,255.09057939052585,34.05223,-118.24368,False
11,129.250.200.114,9.243943054100557,264.3345224446264,40.71427,-74.00597,False
12,170.39.8.30,-11.30677091664282,253.02775152798355,37.751,-97.822,False
13,190.103.185.187,157.2730376802642,410.30078920824775,41.78983,-69.98974,True
14,155.232.1.149,-6.180319292791978,404.12046991545577,-28.95,31.75,False
15,155.232.1.97,13.570172759308209,417.690642674764,-28.95,31.75,False
16,192.96.2.244,-2.3110310236612577,415.3796116511027,-33.92584,18.42322,False
17,163.200.81.55,0.9338696797688611,416.3134813308716,-25.74486,28.18783,False
